지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10),안개 계속시간(hr)
112,인천,2024-01-14,0.1,1.9,3.5,71.6,,,4.1,
112,인천,2024-01-15,-3.7,,4,45.3,,,0,
112,인천,2024-01-16,-2.2,,2,46.9,,,3.5,
112,인천,2024-01-17,0.4,9.9,1.9,80.3,0.4,0.4,9.6,2.42
112,인천,2024-01-18,4,0.1,3.4,78.4,,,6.5,
112,인천,2024-01-19,5.6,,4.5,61.6,,,7.1,
112,인천,2024-01-20,3.3,0.4,5.2,70.3,,,9.5,
112,인천,2024-01-21,0.3,0.1,3.6,79.3,,,9.5,
112,인천,2024-01-22,-9.2,0,5.4,66.5,,,5.9,
112,인천,2024-01-23,-11.5,,5.3,57.3,,,1.8,
112,인천,2024-01-24,-7.6,,5.8,52.4,,,0,
112,인천,2024-01-25,-4.8,,3.3,45.1,,,0,
112,인천,2024-01-26,-1.5,,1.7,63.9,,,2,
112,인천,2024-01-27,-0.6,,2.2,68.8,,,1.9,
112,인천,2024-01-28,-1.9,,1.6,64.5,,,2.8,
112,인천,2024-01-29,-0.5,,1.7,70.4,,,2.1,
112,인천,2024-01-30,1.2,,1.7,61.3,,,2,
112,인천,2024-01-31,3.7,,2.3,58.5,,,2.9,
112,인천,2024-02-01,0.6,,3.2,67.8,,,5.1,
112,인천,2024-02-02,0.6,,1.9,74.8,,,5.5,
112,인천,2024-02-03,3.2,0,2.2,70.8,,,8.9,
112,인천,2024-02-04,5.3,,2.3,65.3,,,8.5,
112,인천,2024-02-05,2.2,7.4,4.8,88.9,0.9,0.9,10,
112,인천,2024-02-06,0.2,0.1,2.3,86.9,0.4,1.3,9,
112,인천,2024-02-07,-0.1,,2.2,77.8,,,3.4,
112,인천,2024-02-08,-0.1,,1.5,66.6,,,1.9,
112,인천,2024-02-09,1.1,,2.5,67.4,,,0.9,
112,인천,2024-02-10,1.7,,2.5,72.5,,,0.4,
112,인천,2024-02-11,1.1,,2.4,69.3,,,1.1,
112,인천,2024-02-12,3.9,,2.6,63.8,,,0,
112,인천,2024-02-13,9.3,,4.4,70.1,,,2,
112,인천,2024-02-14,11.6,0,2.6,80.8,,,8.3,3.33
112,인천,2024-02-15,3.3,6.9,3.6,81.4,1.1,1.1,7.6,8.48
112,인천,2024-02-16,1.8,,2.2,63,,,0,
112,인천,2024-02-17,4,,2.1,73.3,,,1.5,
112,인천,2024-02-18,7.4,10.1,2.7,81.8,,,7.4,
112,인천,2024-02-19,7.6,6.7,3,95.3,,,9,12.37
112,인천,2024-02-20,3.6,2.3,3.6,83.6,,,10,
112,인천,2024-02-21,2,18.1,5,92.5,1,1,10,
112,인천,2024-02-22,0.1,10.6,4.4,87.4,8.9,9.9,9.9,
112,인천,2024-02-23,1.8,0,3.4,69.3,0.1,7.2,7.5,
112,인천,2024-02-24,2.3,0.4,3.3,66.6,,,8.6,
112,인천,2024-02-25,2.4,1.2,2.7,82.4,,,5.3,
112,인천,2024-02-26,3.8,,2.7,68.3,,,2,
112,인천,2024-02-27,5.6,,2.8,50.8,,,8.1,
112,인천,2024-02-28,5.9,0,2.2,61.8,,,8.6,
112,인천,2024-02-29,4,,3.7,62.9,,,6.8,
112,인천,2024-03-01,-4.3,,6.2,41,,,0.4,
112,인천,2024-03-02,-0.3,,4.3,62.1,,,4.5,
112,인천,2024-03-03,3.6,,2.5,75,,,2.4,
112,인천,2024-03-04,4.9,,2.4,42.3,,,4.5,
112,인천,2024-03-05,7.3,,2.8,47.1,,,8.8,
112,인천,2024-03-06,5.7,,2.9,64.1,,,3.6,
112,인천,2024-03-07,4,0,3.4,63.8,,,4.5,
112,인천,2024-03-08,2.2,,4,52.3,,,1.3,
112,인천,2024-03-09,1.8,,3.2,51.6,,,0,
112,인천,2024-03-10,3.8,,2.3,60.1,,,1.1,
112,인천,2024-03-11,6.3,,2.3,61.6,,,7.1,
112,인천,2024-03-12,6.3,0,2.7,71.5,,,5.3,
112,인천,2024-03-13,5.9,,3.2,66.1,,,0.5,
112,인천,2024-03-14,7.1,,2.6,74.5,,,0.5,
112,인천,2024-03-15,7.2,,3.4,82.8,,,1.1,
112,인천,2024-03-16,9.1,,1.9,68.4,,,3.4,
112,인천,2024-03-17,7.7,0.1,5,54.1,,,5.4,
112,인천,2024-03-18,6,,3,36.4,,,3,
112,인천,2024-03-19,5.8,0,5.6,68.6,,,3.9,
112,인천,2024-03-20,4.1,,4.9,54.3,,,0.9,
112,인천,2024-03-21,4.4,,2.1,59.9,,,0.8,
112,인천,2024-03-22,10.3,0,4.9,55.4,,,7.4,
112,인천,2024-03-23,11.1,,2.5,74.1,,,7.6,2.68
112,인천,2024-03-24,14.7,,2.6,47.3,,,5.3,
112,인천,2024-03-25,10.7,4.6,4.3,62,,,9.8,
112,인천,2024-03-26,6.3,11.9,3.4,83,,,5.9,
112,인천,2024-03-27,9.2,,2,75.9,,,5.1,
112,인천,2024-03-28,9.9,0.6,2.6,82.3,,,8.9,
112,인천,2024-03-29,7.1,2,3.7,82,,,4.5,
112,인천,2024-03-30,8.3,,3,59,,,3,
112,인천,2024-03-31,9.6,,2.7,40.9,,,3.3,
112,인천,2024-04-01,11.2,,2.5,34.6,,,0.9,
112,인천,2024-04-02,14.2,,2.3,47.4,,,4.6,
112,인천,2024-04-03,14.7,0,2.3,55.9,,,8.1,
112,인천,2024-04-04,14.9,,2.6,57.4,,,5.9,
112,인천,2024-04-05,12.2,,3,59.3,,,4.4,
112,인천,2024-04-06,10.4,,1.8,58.1,,,5.1,
112,인천,2024-04-07,13,,1.7,37.8,,,1.1,
112,인천,2024-04-08,13.3,,1.6,59.8,,,8.1,
112,인천,2024-04-09,14.6,,3.6,39.9,,,1.1,
112,인천,2024-04-10,12.6,,2.8,69.6,,,6.1,
112,인천,2024-04-11,14.4,0,1.5,65,,,5.6,
112,인천,2024-04-12,15.8,,2.1,68.1,,,3.3,
112,인천,2024-04-13,16.2,,1.8,68,,,0.1,1.62
112,인천,2024-04-14,18.7,,2,54.1,,,3,
112,인천,2024-04-15,14.2,19,3.5,83.3,,,9.6,2
112,인천,2024-04-16,10.7,2.3,2.5,94.1,,,7.3,7.02
112,인천,2024-04-17,12.1,,1.9,77.1,,,5.5,6.28
112,인천,2024-04-18,14.5,,2.4,65.9,,,0,
112,인천,2024-04-19,15.3,,2.4,60.9,,,3.8,
112,인천,2024-04-20,14.4,3.3,3.3,78.5,,,9.4,
112,인천,2024-04-21,16.9,,3.7,66.5,,,8.8,
112,인천,2024-04-22,18.3,,2.9,52.5,,,6.5,
112,인천,2024-04-23,16.6,1.2,2.5,62,,,8.1,
112,인천,2024-04-24,12.5,9.5,2.8,83.8,,,8.3,
112,인천,2024-04-25,12.6,0,1.9,82,,,4.8,
112,인천,2024-04-26,15.9,,1.7,74,,,2.8,
112,인천,2024-04-27,15.3,,2.2,70.1,,,0.3,
112,인천,2024-04-28,17.4,,1.9,69.5,,,5.5,
112,인천,2024-04-29,19,,2.8,53.4,,,5.8,
112,인천,2024-04-30,14.9,,2.6,76,,,7.4,
112,인천,2024-05-01,16.7,,2.2,58.5,,,4.3,
112,인천,2024-05-02,16.2,,2.6,60.9,,,0,
112,인천,2024-05-03,17.2,,2.1,58.8,,,0,
112,인천,2024-05-04,18.8,0,2,51.3,,,3.5,
112,인천,2024-05-05,17,51,3.7,90.8,,,10,2.9
112,인천,2024-05-06,12.8,12.6,3.8,98.3,,,10,2.53
112,인천,2024-05-07,12.8,6.3,3.1,84.3,,,9.8,1.82
112,인천,2024-05-08,14.2,,2.5,63.8,,,1.9,
112,인천,2024-05-09,14.5,,3.1,74,,,0.5,
112,인천,2024-05-10,16.3,,3.1,62.1,,,2.4,
112,인천,2024-05-11,15.9,27.9,4.6,83.3,,,8.3,
112,인천,2024-05-12,15.4,,2.9,72,,,1.4,
112,인천,2024-05-13,16.8,,2.1,64.8,,,0,
112,인천,2024-05-14,16.9,,2.3,56,,,0.3,
112,인천,2024-05-15,12,20,3.7,77.5,,,7.5,
112,인천,2024-05-16,12.9,0,3,71.4,,,0.5,
112,인천,2024-05-17,17,,2.8,73.5,,,4,
112,인천,2024-05-18,19.7,,2.4,72.3,,,1.6,
112,인천,2024-05-19,19.9,,1.9,71.6,,,1.5,
112,인천,2024-05-20,17.7,,2.3,82.8,,,8.3,1.33
112,인천,2024-05-21,18.6,,1.9,82.9,,,5.4,5.37
112,인천,2024-05-22,17.5,,1.7,82,,,6.5,4.95
112,인천,2024-05-23,17.5,,2.2,80.3,,,3.8,
112,인천,2024-05-24,17.5,,1.9,85.5,,,7.6,1.78
112,인천,2024-05-25,18.4,,1.7,84.9,,,9.5,4.77
112,인천,2024-05-26,18.3,4.8,3.1,80.3,,,8.1,0.87
112,인천,2024-05-27,17.5,,3.5,68.9,,,3.9,
112,인천,2024-05-28,19.9,,2.4,57.5,,,2.3,
112,인천,2024-05-29,19.4,,2.2,62.4,,,1.6,
112,인천,2024-05-30,19.5,,1.5,57.5,,,9,
112,인천,2024-05-31,18.3,,2.8,76.8,,,4.8,
112,인천,2024-06-01,19.3,,3.1,67.4,,,2.5,
112,인천,2024-06-02,19.2,,2.7,60.8,,,0.6,
112,인천,2024-06-03,21.7,,2,55.1,,,1.8,
112,인천,2024-06-04,22.3,,2.3,43.8,,,0,
112,인천,2024-06-05,21,,2.1,65.9,,,5.4,
112,인천,2024-06-06,21,,2.2,70.3,,,2.5,
112,인천,2024-06-07,21,0.1,1.9,65.1,,,8.3,
112,인천,2024-06-08,19.7,9.9,2,86.1,,,7,
112,인천,2024-06-09,20.8,,1.9,78.9,,,3.8,0.47
112,인천,2024-06-10,22.8,,2.6,76.1,,,1.4,
112,인천,2024-06-11,22.3,,2.6,80.9,,,5.8,
112,인천,2024-06-12,22.7,,2.3,70.8,,,4.9,
112,인천,2024-06-13,23.8,,1.9,70.6,,,1.5,
112,인천,2024-06-14,23.8,,2,74,,,6.4,
112,인천,2024-06-15,22.7,4.4,2.1,81.6,,,6.8,
112,인천,2024-06-16,22,,2.7,75.8,,,0.6,
112,인천,2024-06-17,22.4,,2.6,69.1,,,3.3,
112,인천,2024-06-18,22.8,,2.5,77.3,,,0.4,
112,인천,2024-06-19,25.8,,1.9,68.8,,,4.1,
112,인천,2024-06-20,26,,1.8,56.1,,,3.3,
112,인천,2024-06-21,24.9,,2,67.3,,,6.1,
112,인천,2024-06-22,23.6,23.1,1.9,84.5,,,10,
112,인천,2024-06-23,23.9,1.1,2.5,83.6,,,7.5,
112,인천,2024-06-24,22.5,0.1,3.1,79.9,,,5.3,0.37
112,인천,2024-06-25,22.3,,3.1,67.3,,,3.4,
112,인천,2024-06-26,23.8,,2,65.4,,,0.5,
112,인천,2024-06-27,24.3,,1.9,66.9,,,3.9,
112,인천,2024-06-28,24.8,,2.1,58.8,,,1.4,
112,인천,2024-06-29,25.8,57.7,2.3,69.9,,,6.6,
112,인천,2024-06-30,22.7,5.4,4.6,92.3,,,7.5,
112,인천,2024-07-01,24.5,,2,78.5,,,2.8,
112,인천,2024-07-02,23.3,57.8,3,91.5,,,9.9,
112,인천,2024-07-03,23.5,0.2,3.7,89.8,,,9.6,
112,인천,2024-07-04,25.1,1.6,3.3,84.3,,,8.4,2.28
112,인천,2024-07-05,22.4,0.1,3.8,85.1,,,8.6,
131,청주,2023-06-01,23.5,,1.2,61.6,,,8.4,
131,청주,2023-06-02,21.9,0,1.7,68.3,,,5,
131,청주,2023-06-03,22.6,,1.7,50.3,,,2.8,
131,청주,2023-06-04,23.2,,1.7,46.5,,,5.8,
131,청주,2023-06-05,22.7,,1.8,54.4,,,5.4,
131,청주,2023-06-06,21.8,,1.4,59.5,,,4.1,
131,청주,2023-06-07,22.5,,1.5,64.3,,,7.8,
131,청주,2023-06-08,23.1,0,1.8,65.6,,,7.6,
131,청주,2023-06-09,24.8,0,1.6,49.1,,,3.5,
131,청주,2023-06-10,24.6,0,1.4,56.8,,,6.5,
131,청주,2023-06-11,23.9,0,1.5,67.1,,,6.9,
131,청주,2023-06-12,23.9,,1.2,61.3,,,5.5,
131,청주,2023-06-13,23.3,,1.5,60.5,,,4.4,
131,청주,2023-06-14,23.2,0.4,1.2,60,,,5.8,
131,청주,2023-06-15,23.4,,1.2,59.3,,,1.9,
131,청주,2023-06-16,25,,1.2,54.6,,,1.3,
131,청주,2023-06-17,25.7,,1.2,46.3,,,4.9,
131,청주,2023-06-18,26.6,,1.2,49.1,,,3.4,
131,청주,2023-06-19,28.4,,1.6,49.6,,,4,
131,청주,2023-06-20,24.6,5.6,2,54.1,,,7.9,
131,청주,2023-06-21,21.6,9.1,1,84.6,,,9.5,
131,청주,2023-06-22,23.7,1.5,1.9,69.3,,,7.6,
131,청주,2023-06-23,26,,1.3,62.3,,,5.3,
131,청주,2023-06-24,27.4,,1.1,60.3,,,4.8,
131,청주,2023-06-25,27.6,0,1.8,54.9,,,5.5,
131,청주,2023-06-26,24.6,35.1,1.4,84.3,,,10,
131,청주,2023-06-27,26.9,6.2,2.1,67.4,,,6.9,
131,청주,2023-06-28,25.1,0.4,1.4,72.4,,,7.9,
131,청주,2023-06-29,25.4,39,1.3,85,,,9.9,
131,청주,2023-06-30,25.9,3.2,1.2,82,,,8.9,
131,청주,2023-07-01,28.7,,1.2,68.5,,,5.4,
131,청주,2023-07-02,28.5,,1.2,68.9,,,6,
131,청주,2023-07-03,29.8,,1.3,60.5,,,5.3,
131,청주,2023-07-04,25.9,31.1,1.4,79.9,,,8.5,
131,청주,2023-07-05,25.5,22.3,2.3,73.9,,,5,
131,청주,2023-07-06,27.9,,1.4,57.3,,,6.3,
131,청주,2023-07-07,23.1,35.2,1.1,76.9,,,9.8,
131,청주,2023-07-08,25.7,0.8,1,77.1,,,7.4,
131,청주,2023-07-09,27.5,0,1.4,75.8,,,7.8,
131,청주,2023-07-10,27.5,22.5,1.8,69.6,,,7,
131,청주,2023-07-11,25.2,16.1,1.1,81,,,9.5,
131,청주,2023-07-12,27.7,,1.4,75.8,,,8.3,
131,청주,2023-07-13,26.3,25.6,0.9,85.4,,,10,
131,청주,2023-07-14,25.1,171,1.4,90.6,,,10,
131,청주,2023-07-15,23.5,256.8,1.1,90.9,,,9.9,
131,청주,2023-07-16,25.1,1.8,0.7,84.1,,,9,
131,청주,2023-07-17,26.7,7.4,1.2,81.3,,,9.3,
131,청주,2023-07-18,24.3,66.9,1.1,89.4,,,9.3,
131,청주,2023-07-19,27.2,,1.5,70.1,,,3.8,
131,청주,2023-07-20,27.9,,1,69.4,,,4.1,
131,청주,2023-07-21,29.7,,1,64,,,2.3,
131,청주,2023-07-22,27.3,0.3,1.6,68.3,,,6.3,
131,청주,2023-07-23,26,15.8,0.6,83.4,,,10,
131,청주,2023-07-24,27.4,6.6,0.9,78.4,,,8,
131,청주,2023-07-25,26.8,3,1.1,80.3,,,9.4,
131,청주,2023-07-26,27.3,7.3,0.9,78.3,,,7.1,
131,청주,2023-07-27,28.3,6.7,1,75.5,,,5.6,
131,청주,2023-07-28,29.6,1.3,1.1,70.6,,,4.1,
131,청주,2023-07-29,30.7,,1,66.1,,,3.4,
131,청주,2023-07-30,29.2,0,1.2,69.4,,,4.4,
131,청주,2023-07-31,29.4,,1.3,69.9,,,6.1,
131,청주,2023-08-01,30.4,0,1.4,66.8,,,4.4,
131,청주,2023-08-02,30.5,,1.1,64.5,,,4.3,
131,청주,2023-08-03,30.4,,1.1,61.6,,,2.9,
131,청주,2023-08-04,31.1,,1.1,61.4,,,4.3,
131,청주,2023-08-05,31.1,,1.1,62.4,,,2.6,
131,청주,2023-08-06,31.2,0.7,1.3,62.9,,,3.8,
131,청주,2023-08-07,30.3,0,1.5,66.9,,,5.1,
131,청주,2023-08-08,30.6,2.3,2.1,63.8,,,4.6,
131,청주,2023-08-09,27.4,29.5,3.4,74.4,,,8.1,
131,청주,2023-08-10,22.2,109.8,3.6,89.3,,,10,
131,청주,2023-08-11,26.3,6,1.7,76,,,9.1,
131,청주,2023-08-12,25.6,1.9,1.1,75.9,,,7.4,
131,청주,2023-08-13,28.2,,1,70.9,,,6,
131,청주,2023-08-14,29.2,,1,69.6,,,3.6,
131,청주,2023-08-15,29.4,,1.7,68.5,,,5.4,
131,청주,2023-08-16,28.1,,1.4,68.4,,,5.1,
131,청주,2023-08-17,28.2,,1.2,70.4,,,5.3,
131,청주,2023-08-18,28.1,41.2,1,74.8,,,4,
131,청주,2023-08-19,29.3,0,1,68.1,,,6.3,
131,청주,2023-08-20,29.3,0,1.1,67,,,5.5,
131,청주,2023-08-21,30,,1.3,67.6,,,6,
131,청주,2023-08-22,29,0,1.3,69.9,,,5.8,
131,청주,2023-08-23,27.5,26.7,1.4,78.6,,,9.3,
131,청주,2023-08-24,26.2,47.4,1.3,86.3,,,9.5,
131,청주,2023-08-25,27.2,,1.7,70.1,,,4.1,
131,청주,2023-08-26,26.3,,1.1,70.6,,,6.4,
131,청주,2023-08-27,27.1,0,1.5,67.1,,,6.9,
131,청주,2023-08-28,27.2,0,2.5,67.5,,,8.5,
131,청주,2023-08-29,25.5,3.9,1.6,80.1,,,9.3,
131,청주,2023-08-30,22.3,28.3,0.9,86.9,,,9.5,
131,청주,2023-08-31,23.6,,0.9,75.9,,,6.4,
131,청주,2023-09-01,24,,1.6,68.6,,,4.1,1.23
131,청주,2023-09-02,25.9,,1.4,66.9,,,3.4,
131,청주,2023-09-03,28.1,0.8,1,70.1,,,7.5,
131,청주,2023-09-04,28.5,,1.7,70.8,,,8.4,
131,청주,2023-09-05,28.1,,1.6,64.4,,,6.3,
131,청주,2023-09-06,27.7,,1.7,61.5,,,2,
131,청주,2023-09-07,26.2,,2.1,53.9,,,0,
131,청주,2023-09-08,24.8,,1.4,56.9,,,0,
131,청주,2023-09-09,25.8,,0.9,60.8,,,1.6,
131,청주,2023-09-10,25.9,,0.9,63.8,,,4.3,
131,청주,2023-09-11,26.4,,1,61.1,,,5,
131,청주,2023-09-12,26.1,,1.1,62.6,,,7,
131,청주,2023-09-13,22.2,29.4,1.7,85.4,,,10,
131,청주,2023-09-14,22.9,3.8,2.2,81.6,,,9.5,
131,청주,2023-09-15,22.9,12.1,1.4,86.5,,,10,
131,청주,2023-09-16,23.9,84.4,0.9,86.8,,,9.6,
131,청주,2023-09-17,25.3,8,0.8,79.9,,,8.6,
131,청주,2023-09-18,25.5,,1,76,,,4.6,
131,청주,2023-09-19,24.4,,0.9,75.4,,,8.1,
131,청주,2023-09-20,21.5,76.1,2.5,87.6,,,10,
131,청주,2023-09-21,20,0.2,2.5,74.5,,,8.1,
131,청주,2023-09-22,19.9,,1.4,69.4,,,3.6,1.42
131,청주,2023-09-23,21.2,,1.5,62.8,,,5.4,
131,청주,2023-09-24,21.5,,2.5,56.6,,,4.6,
131,청주,2023-09-25,22.3,3.2,1.5,65.5,,,8.3,
131,청주,2023-09-26,21.2,44.5,1.1,87.5,,,9.8,
131,청주,2023-09-27,22.3,5.4,1,84.6,,,9.5,
131,청주,2023-09-28,23.1,,1.2,73.4,,,4.9,
131,청주,2023-09-29,21.6,,0.8,68,,,8.8,
131,청주,2023-09-30,19.6,2.7,1.3,72.8,,,5.3,
131,청주,2023-10-01,19.4,,1.3,55.9,,,0.3,
131,청주,2023-10-02,18.1,,1.2,59.1,,,3,
131,청주,2023-10-03,16.8,,0.9,69.5,,,5.3,
131,청주,2023-10-04,18.5,0,1.1,68.8,,,5.8,
131,청주,2023-10-05,15.7,,1.8,38.5,,,1.8,
131,청주,2023-10-06,15.8,,1,53.3,,,6.3,
131,청주,2023-10-07,17.1,,1.6,60.8,,,8.5,
131,청주,2023-10-08,18.4,0,2.1,58,,,8.1,
131,청주,2023-10-09,18.1,,1.1,65.6,,,6.5,
131,청주,2023-10-10,18,,1.3,63.1,,,2.1,
131,청주,2023-10-11,17.8,,1.3,60,,,2.4,
131,청주,2023-10-12,17.4,,1.2,58.3,,,4.9,
131,청주,2023-10-13,17.6,,0.7,64.1,,,7.6,
131,청주,2023-10-14,15.3,11.9,0.9,80.5,,,6.9,
131,청주,2023-10-15,16,,1.1,73.1,,,4.8,
131,청주,2023-10-16,15.6,,1.1,60.4,,,1.6,
131,청주,2023-10-17,14.3,,0.7,57.1,,,0,
131,청주,2023-10-18,15.6,,0.9,61.8,,,2.4,
131,청주,2023-10-19,16.1,5.4,0.8,80.8,,,8.9,
131,청주,2023-10-20,13,0.1,2.1,50.3,,,3.5,
131,청주,2023-10-21,11.5,0,1.4,56.4,,,1.6,
131,청주,2023-10-22,12.9,,0.7,63.1,,,3.9,
131,청주,2023-10-23,15.3,,0.6,69.3,,,4.5,
131,청주,2023-10-24,14.9,,0.8,72.9,,,4.5,
131,청주,2023-10-25,16.2,,0.6,71.9,,,2.3,
131,청주,2023-10-26,17.7,,1.3,73.1,,,6.3,
131,청주,2023-10-27,15.6,,1.3,67.1,,,3.6,
131,청주,2023-10-28,14.1,,0.9,64.1,,,1.1,1.17
131,청주,2023-10-29,14.4,,0.9,60.5,,,0.1,
131,청주,2023-10-30,15,,0.5,65.1,,,2.1,
131,청주,2023-10-31,15.7,,0.9,63.6,,,3.8,
131,청주,2023-11-01,18.7,,1.5,69.1,,,7,
131,청주,2023-11-02,20.3,,1.2,55.3,,,0.6,
131,청주,2023-11-03,20.4,,1.4,66.3,,,6.9,
131,청주,2023-11-04,19.4,0.2,0.9,77.9,,,8.9,
131,청주,2023-11-05,20.2,3.7,1.6,71.6,,,8.8,
131,청주,2023-11-06,15.8,14.4,3,68,,,8,
131,청주,2023-11-07,8.5,0,2,55.8,,,2.9,
131,청주,2023-11-08,9.5,,0.9,56.3,,,1.5,
131,청주,2023-11-09,13.1,5.8,0.8,69,,,6.4,
131,청주,2023-11-10,6.4,0.1,2,43,,,2.5,
131,청주,2023-11-11,3,,1.3,47.8,,,3.3,
131,청주,2023-11-12,2.8,,1.2,52.6,,,2.4,
131,청주,2023-11-13,3.7,,1.1,52.8,,,0,
131,청주,2023-11-14,6.4,,0.8,60.8,,,4.5,
131,청주,2023-11-15,7.6,,0.8,63.8,,,2.5,
131,청주,2023-11-16,6.3,7.9,0.7,81.5,,,9.3,
131,청주,2023-11-17,2.9,3.1,1.7,69,1.5,1.5,4.9,
131,청주,2023-11-18,2.3,,1.7,59.6,,1,4.5,
131,청주,2023-11-19,8.3,,1.4,63.4,,,3.9,
131,청주,2023-11-20,7.2,,0.7,49.9,,,0,
131,청주,2023-11-21,7.2,,0.4,53,,,0,
131,청주,2023-11-22,8.8,,0.6,65.3,,,2,
131,청주,2023-11-23,12,0,1.7,57.1,,,2.9,
131,청주,2023-11-24,1.3,,2,47.6,,,1.5,
131,청주,2023-11-25,-0.4,,1.3,38.4,,,0.5,
131,청주,2023-11-26,4.6,0,0.5,43.3,,,8.4,
131,청주,2023-11-27,7.6,5.3,0.9,79.9,,,8.1,
131,청주,2023-11-28,3.9,0.1,1.5,57.4,,,3.9,
131,청주,2023-11-29,2.3,0.9,1.5,63.3,,,7.6,
131,청주,2023-11-30,-2,0,1.7,49.8,,,2.3,
131,청주,2023-12-01,-1.2,0,1.4,54.1,,,0.3,
131,청주,2023-12-02,2.8,0,1.1,61.6,,,6.3,
131,청주,2023-12-03,3,0,0.9,45.9,,,0.3,
131,청주,2023-12-04,2.6,,0.5,57.5,,,2,
131,청주,2023-12-05,4.7,,0.7,58.8,,,3,
131,청주,2023-12-06,6.4,0.8,0.9,68.6,,,6.3,
131,청주,2023-12-07,7.5,,1.7,50.3,,,0.8,
131,청주,2023-12-08,12.4,,1.2,55.9,,,0.8,
131,청주,2023-12-09,14.9,,0.9,68.1,,,3,
131,청주,2023-12-10,13.6,,1.1,72.5,,,7.4,
131,청주,2023-12-11,12.5,25.3,2.7,76.6,,,9.6,
131,청주,2023-12-12,7.4,0,2.8,69.5,,,6.4,
131,청주,2023-12-13,9.2,,1.3,64.4,,,6.9,
131,청주,2023-12-14,10.8,22.8,1.3,73.1,,,9.8,
131,청주,2023-12-15,7.6,39.4,1.6,90,,,9.9,
131,청주,2023-12-16,-1.7,4.3,2.7,78.4,3.4,3.4,9.3,
131,청주,2023-12-17,-8.1,,1.5,52.5,,3.2,0.3,
131,청주,2023-12-18,-6.3,,1.3,53.6,,1.2,6.6,
131,청주,2023-12-19,-2.4,0,0.8,54.9,,0.8,8.8,
131,청주,2023-12-20,-5.4,0.2,1.6,67.3,0.4,0.4,7.3,
131,청주,2023-12-21,-9.4,0,1.5,57.5,,0.3,2.3,
131,청주,2023-12-22,-9.2,,1.5,50.9,,,0.4,
131,청주,2023-12-23,-5.7,0,0.8,55.5,,,1,
131,청주,2023-12-24,-1.7,0.2,0.9,69.6,,,6.1,
131,청주,2023-12-25,0,0.1,0.8,79.5,3,3,6.3,
131,청주,2023-12-26,2.8,,0.7,70.3,,,6.6,
131,청주,2023-12-27,2.9,,0.5,71.3,,,1.9,
131,청주,2023-12-28,1.7,,0.7,76,,,4.3,
131,청주,2023-12-29,2.1,,0.8,70.8,,,5.1,
131,청주,2023-12-30,0.7,2.2,0.9,83,,,7.9,
131,청주,2023-12-31,4.1,2,1,80.8,,,8.6,0.25
131,청주,2024-01-01,3.6,,0.8,80.6,,,8.1,6.17
131,청주,2024-01-02,4.4,0,0.8,70.1,,,9.5,
131,청주,2024-01-03,2.6,1.9,0.9,72.9,,,7.6,
131,청주,2024-01-04,2,,0.8,68.5,,,1.8,
131,청주,2024-01-05,5,,1,72.8,,,4.8,
131,청주,2024-01-06,2.2,0.2,1.3,58.4,0.3,0.3,1.9,
131,청주,2024-01-07,-2,0,1.9,52.6,,0.3,2,
131,청주,2024-01-08,-3.4,,0.9,46.3,,,1,
131,청주,2024-01-09,-0.1,3,0.9,72.9,0.4,0.4,9.5,
131,청주,2024-01-10,-0.3,0.2,1.3,79.8,0.2,0.6,8.8,
131,청주,2024-01-11,1.4,,1.1,71.1,,,7.9,
131,청주,2024-01-12,3.4,,1.3,54.4,,,1.5,
131,청주,2024-01-13,1.6,,0.8,45.9,,,0.3,
131,청주,2024-01-14,1.6,3.4,1,69,,,5.9,
131,청주,2024-01-15,-1.8,,1.5,45.5,,,0.5,
131,청주,2024-01-16,-1.1,,0.9,50.9,,,2.9,
131,청주,2024-01-17,1.2,8.4,0.9,76.6,,,9.3,
131,청주,2024-01-18,4.8,10.6,1.4,84.5,,,9,
131,청주,2024-01-19,6.6,,2.7,61.1,,,8.1,
131,청주,2024-01-20,4.1,7.5,3.2,75.8,,,9.4,
131,청주,2024-01-21,2.9,0.1,1.9,73.6,,,8.8,
131,청주,2024-01-22,-5.9,0.1,2.5,67.9,1.3,1.3,8.5,
131,청주,2024-01-23,-10,1.8,1.9,67.6,5,5,6.1,
131,청주,2024-01-24,-7.1,0,1.9,55.6,,4.3,3,
131,청주,2024-01-25,-4.5,,1.1,47.1,,0.5,0,
131,청주,2024-01-26,-1.6,,0.7,63.5,,,3.6,
131,청주,2024-01-27,0.4,,0.9,60.5,,,2.5,
131,청주,2024-01-28,0.4,,0.8,60,,,4.4,
131,청주,2024-01-29,0,,0.8,61.5,,,1.1,
131,청주,2024-01-30,1.6,,0.5,58.4,,,1.8,
131,청주,2024-01-31,5.9,,0.9,48.3,,,4.1,
131,청주,2024-02-01,4.1,,1.1,61,,,8.8,
131,청주,2024-02-02,4.1,,0.9,61.1,,,3.8,
131,청주,2024-02-03,5,0.1,0.9,68.3,,,9,
131,청주,2024-02-04,6.3,0.8,1.6,69.6,,,6.8,
131,청주,2024-02-05,3.5,7.5,3.6,82.8,,,10,
131,청주,2024-02-06,1.9,0.2,1.6,79.5,,,9.3,
131,청주,2024-02-07,1.2,0,1.1,62.3,,,7.3,
